idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	0	0	0	0	0	0
6	-0.5	-0.25	0	0	0	0	0	0
7	-0.25	-0.1	4	25	1	2	1	0.33333333
8	-0.1	0	738	25	613	69	37	5.7830189
9	0	0.1	1134	25	939	119	49	5.5892857
10	0.1	0.25	557	25	440	73	22	4.6315789
11	0.25	0.5	561	25	440	94	15	4.0366972
12	0.5	1	441	25	354	70	6	4.6578947
13	1	2	130	25	97	30	1	3.1290323
14	2	3	7	25	5	2	0	2.5
15	3	5	1	25	1	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
