idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	3	25	1	2	0	0.5
5	-1	-0.5	5	25	3	0	1	3
6	-0.5	-0.25	27	25	10	10	6	0.625
7	-0.25	-0.1	162	25	74	53	21	1
8	-0.1	0	5095	100	4045	552	301	4.7420868
9	0	0.1	6553	100	5236	712	326	5.044316
10	0.1	0.25	2107	47	1622	305	93	4.0753769
11	0.25	0.5	1988	44	1533	328	64	3.9107143
12	0.5	1	1549	34	1141	307	52	3.178273
13	1	2	553	25	422	109	5	3.7017544
14	2	3	38	25	29	8	0	3.625
15	3	5	5	25	4	1	0	4
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
