idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	1	25	1	0	0	0
4	-2	-1	1	25	1	0	0	0
5	-1	-0.5	6	25	4	2	0	2
6	-0.5	-0.25	21	25	7	7	5	0.58333333
7	-0.25	-0.1	168	25	80	46	25	1.1267606
8	-0.1	0	7240	100	6254	528	303	7.5258724
9	0	0.1	9652	100	8171	851	397	6.5472756
10	0.1	0.25	3296	73	2585	509	107	4.1964286
11	0.25	0.5	3104	69	2387	546	88	3.7649842
12	0.5	1	2322	52	1817	394	60	4.0022026
13	1	2	803	25	613	151	19	3.6058824
14	2	3	71	25	56	14	0	4
15	3	5	5	25	4	1	0	4
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
