idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	2	25	1	1	0	1
4	-2	-1	4	25	1	1	1	0.5
5	-1	-0.5	25	25	9	10	2	0.75
6	-0.5	-0.25	77	25	28	29	12	0.68292683
7	-0.25	-0.1	602	25	328	159	67	1.4513274
8	-0.1	0	9238	100	7058	1121	625	4.0423826
9	0	0.1	10577	100	7946	1254	811	3.8479419
10	0.1	0.25	2232	50	1468	450	186	2.3081761
11	0.25	0.5	1515	34	1081	310	57	2.9455041
12	0.5	1	1169	26	876	226	32	3.3953488
13	1	2	448	25	329	97	14	2.963964
14	2	3	39	25	26	11	1	2.1666667
15	3	5	3	25	3	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
