idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	1	25	1	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	2	25	0	1	1	0
3	-3	-2	3	25	1	1	0	1
4	-2	-1	5	25	3	1	0	3
5	-1	-0.5	17	25	6	4	4	0.75
6	-0.5	-0.25	82	25	34	21	16	0.91891892
7	-0.25	-0.1	386	25	162	102	86	0.86170213
8	-0.1	0	8491	100	6751	827	604	4.7176799
9	0	0.1	10573	100	8469	1072	687	4.8146674
10	0.1	0.25	2793	62	2113	433	154	3.5996593
11	0.25	0.5	2506	56	1959	398	81	4.0897704
12	0.5	1	1916	43	1467	338	62	3.6675
13	1	2	661	25	508	125	13	3.6811594
14	2	3	51	25	38	12	0	3.1666667
15	3	5	4	25	2	2	0	1
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
