idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	3	25	1	1	1	0.5
3	-3	-2	13	25	5	5	2	0.71428571
4	-2	-1	251	25	67	123	40	0.41104294
5	-1	-0.5	872	25	303	374	123	0.60965795
6	-0.5	-0.25	3826	85	1348	1632	531	0.62320851
7	-0.25	-0.1	23174	100	9116	8635	3484	0.75220728
8	-0.1	0	188253	100	99450	44618	28748	1.3555325
9	0	0.1	223623	100	116409	51669	36029	1.3273849
10	0.1	0.25	57382	100	27559	16715	8234	1.1046134
11	0.25	0.5	24544	100	15009	5989	2116	1.8518199
12	0.5	1	14205	100	9965	2981	676	2.7249111
13	1	2	4857	100	3439	1080	175	2.740239
14	2	3	396	25	270	109	11	2.25
15	3	5	37	25	26	9	2	2.3636364
16	5	10	1	25	0	1	0	0
17	10	20	0	0	0	0	0	0
