idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	1	25	1	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	3	25	0	2	1	0
3	-3	-2	9	25	1	3	2	0.2
4	-2	-1	26	25	10	6	4	1
5	-1	-0.5	106	25	37	31	25	0.66071429
6	-0.5	-0.25	538	25	180	182	120	0.59602649
7	-0.25	-0.1	2650	59	1000	791	570	0.73475386
8	-0.1	0	27455	100	17659	4229	3729	2.2190249
9	0	0.1	31687	100	20524	4941	4191	2.2474814
10	0.1	0.25	7079	100	4381	1445	810	1.9427938
11	0.25	0.5	4593	100	3353	816	269	3.0903226
12	0.5	1	3226	72	2533	507	111	4.0987055
13	1	2	1188	26	903	225	33	3.5
14	2	3	92	25	63	25	1	2.4230769
15	3	5	9	25	5	4	0	1.25
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
