idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	0	1	0	0
3	-3	-2	3	25	0	1	1	0
4	-2	-1	80	25	21	41	14	0.38181818
5	-1	-0.5	310	25	92	156	43	0.46231156
6	-0.5	-0.25	1554	35	529	678	220	0.58908686
7	-0.25	-0.1	8761	100	3258	3303	1412	0.69098621
8	-0.1	0	58483	100	27078	15649	10357	1.0412213
9	0	0.1	70469	100	32324	18152	13147	1.0327487
10	0.1	0.25	20063	100	8783	6241	3157	0.93456054
11	0.25	0.5	7343	100	4091	1980	803	1.4699964
12	0.5	1	3545	79	2379	811	186	2.3861585
13	1	2	991	25	685	230	45	2.4909091
14	2	3	68	25	45	23	0	1.9565217
15	3	5	4	25	3	1	0	3
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
