idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	2	25	1	0	1	1
3	-3	-2	4	25	2	2	0	1
4	-2	-1	101	25	19	55	17	0.26388889
5	-1	-0.5	376	25	137	148	62	0.65238095
6	-0.5	-0.25	1673	37	607	695	231	0.65550756
7	-0.25	-0.1	10414	100	4079	3962	1537	0.74177123
8	-0.1	0	85074	100	43783	20769	13391	1.2817037
9	0	0.1	101412	100	51428	24083	16824	1.2571931
10	0.1	0.25	25569	100	12080	7527	3769	1.0694051
11	0.25	0.5	10777	100	6541	2654	942	1.8189655
12	0.5	1	6105	100	4272	1293	292	2.6952681
13	1	2	2150	48	1518	464	75	2.8163265
14	2	3	162	25	114	38	5	2.6511628
15	3	5	17	25	9	6	2	1.125
16	5	10	1	25	0	1	0	0
17	10	20	0	0	0	0	0	0
