idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	0	0	1	0
3	-3	-2	4	25	0	2	1	0
4	-2	-1	38	25	10	22	5	0.37037037
5	-1	-0.5	131	25	43	67	12	0.5443038
6	-0.5	-0.25	645	25	222	284	90	0.59358289
7	-0.25	-0.1	3625	81	1450	1339	552	0.76679006
8	-0.1	0	36428	100	22295	7555	4208	1.8953498
9	0	0.1	41419	100	25224	8336	4948	1.8988257
10	0.1	0.25	9723	100	5571	2552	986	1.5746184
11	0.25	0.5	5460	100	3759	1162	280	2.6067961
12	0.5	1	3823	85	2782	765	131	3.1049107
13	1	2	1330	30	962	297	42	2.8377581
14	2	3	120	25	81	33	4	2.1891892
15	3	5	7	25	4	3	0	1.3333333
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
