idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	1	25	0	0	1	0
4	-2	-1	1	25	0	0	1	0
5	-1	-0.5	5	25	2	3	0	0.66666667
6	-0.5	-0.25	21	25	9	8	3	0.81818182
7	-0.25	-0.1	112	25	50	29	21	1
8	-0.1	0	4885	100	4357	264	177	9.8798186
9	0	0.1	5716	100	4940	461	199	7.4848485
10	0.1	0.25	1543	34	1200	241	44	4.2105263
11	0.25	0.5	1395	31	1102	215	42	4.2879377
12	0.5	1	1110	25	864	196	29	3.84
13	1	2	407	25	305	87	5	3.3152174
14	2	3	25	25	15	10	0	1.5
15	3	5	2	25	1	1	0	1
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
