idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	4	25	1	2	1	0.33333333
6	-0.5	-0.25	15	25	4	7	2	0.44444444
7	-0.25	-0.1	119	25	54	31	19	1.08
8	-0.1	0	4268	95	3682	312	191	7.3200795
9	0	0.1	5725	100	4858	503	250	6.4515272
10	0.1	0.25	1890	42	1487	292	64	4.1769663
11	0.25	0.5	1857	41	1458	308	48	4.0955056
12	0.5	1	1396	31	1096	239	31	4.0592593
13	1	2	464	25	363	77	13	4.0333333
14	2	3	35	25	27	8	0	3.375
15	3	5	1	25	1	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
