idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	0	1	0	0
3	-3	-2	2	25	1	0	0	0
4	-2	-1	3	25	0	0	1	0
5	-1	-0.5	26	25	10	10	6	0.625
6	-0.5	-0.25	119	25	40	36	24	0.66666667
7	-0.25	-0.1	758	25	303	228	143	0.81671159
8	-0.1	0	11895	100	8870	1427	1051	3.5794996
9	0	0.1	14447	100	10929	1661	1225	3.7869023
10	0.1	0.25	3878	86	2728	728	252	2.7836735
11	0.25	0.5	3345	74	2602	538	129	3.9010495
12	0.5	1	2479	55	1962	411	63	4.1392405
13	1	2	851	25	650	168	20	3.4574468
14	2	3	96	25	67	28	1	2.3103448
15	3	5	6	25	3	3	0	1
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
