idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	2	25	1	1	0	1
4	-2	-1	14	25	6	3	3	1
5	-1	-0.5	45	25	15	17	8	0.6
6	-0.5	-0.25	269	25	93	98	57	0.6
7	-0.25	-0.1	1323	29	467	416	294	0.65774648
8	-0.1	0	15092	100	9898	2320	1977	2.3034675
9	0	0.1	18526	100	12521	2856	2099	2.5269425
10	0.1	0.25	5372	100	3727	944	453	2.6678597
11	0.25	0.5	4227	94	3215	700	173	3.6827033
12	0.5	1	2966	66	2290	520	89	3.7602627
13	1	2	948	25	690	220	24	2.8278689
14	2	3	83	25	63	19	0	3.3157895
15	3	5	8	25	5	2	1	1.6666667
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
