idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	0	0	0	0	0	0
6	-0.5	-0.25	1	25	1	0	0	0
7	-0.25	-0.1	6	25	2	3	1	0.5
8	-0.1	0	795	25	683	69	28	7.0412371
9	0	0.1	1232	27	1040	127	39	6.2650602
10	0.1	0.25	612	25	485	99	19	4.1101695
11	0.25	0.5	586	25	476	91	14	4.5333333
12	0.5	1	409	25	334	59	8	4.9850746
13	1	2	129	25	99	26	1	3.6666667
14	2	3	11	25	9	2	0	4.5
15	3	5	2	25	2	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
