idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	4	25	0	2	2	0
4	-2	-1	5	25	2	2	1	0.66666667
5	-1	-0.5	10	25	5	2	2	1.25
6	-0.5	-0.25	32	25	11	10	9	0.57894737
7	-0.25	-0.1	187	25	92	52	25	1.1948052
8	-0.1	0	5211	100	4347	404	318	6.0207756
9	0	0.1	6332	100	5242	594	302	5.8504464
10	0.1	0.25	1662	37	1281	253	67	4.003125
11	0.25	0.5	1574	35	1228	257	58	3.8984127
12	0.5	1	1180	26	948	179	29	4.5576923
13	1	2	467	25	358	89	11	3.58
14	2	3	49	25	35	10	1	3.1818182
15	3	5	2	25	1	1	0	1
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
