idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	1	25	0	0	1	0
4	-2	-1	2	25	1	0	0	0
5	-1	-0.5	7	25	3	2	2	0.75
6	-0.5	-0.25	42	25	16	11	11	0.72727273
7	-0.25	-0.1	291	25	101	96	62	0.63924051
8	-0.1	0	5769	100	4601	588	389	4.7093142
9	0	0.1	6880	100	5571	697	417	5.0008977
10	0.1	0.25	1805	40	1394	305	60	3.8191781
11	0.25	0.5	1576	35	1243	260	46	4.0620915
12	0.5	1	1199	27	945	204	26	4.1086957
13	1	2	397	25	294	91	5	3.0625
14	2	3	46	25	31	15	0	2.0666667
15	3	5	4	25	0	3	1	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
