idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	4	25	3	1	0	3
5	-1	-0.5	2	25	0	0	2	0
6	-0.5	-0.25	18	25	8	5	3	1
7	-0.25	-0.1	112	25	45	30	25	0.81818182
8	-0.1	0	1577	35	1160	176	166	3.3918129
9	0	0.1	1852	41	1423	195	161	3.997191
10	0.1	0.25	407	25	300	61	33	3.1914894
11	0.25	0.5	319	25	251	42	23	3.8615385
12	0.5	1	229	25	190	27	5	5.9375
13	1	2	87	25	72	12	2	5.1428571
14	2	3	6	25	3	3	0	1
15	3	5	0	0	0	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
