idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	0	1	0	0
3	-3	-2	8	25	4	3	1	1
4	-2	-1	207	25	55	98	34	0.41666667
5	-1	-0.5	710	25	240	301	107	0.58823529
6	-0.5	-0.25	3057	68	1080	1303	418	0.62754213
7	-0.25	-0.1	18671	100	7274	6990	2814	0.74194206
8	-0.1	0	135670	100	65029	35026	23329	1.1143689
9	0	0.1	162454	100	76166	40886	29759	1.0781513
10	0.1	0.25	42303	100	18124	13215	6958	0.89842859
11	0.25	0.5	14414	100	7731	4007	1675	1.3606125
12	0.5	1	6790	100	4514	1518	444	2.3007136
13	1	2	2259	50	1533	517	110	2.4449761
14	2	3	192	25	128	55	6	2.0983607
15	3	5	19	25	12	5	2	1.7142857
16	5	10	1	25	0	1	0	0
17	10	20	0	0	0	0	0	0
