idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	3	25	1	1	1	0.5
4	-2	-1	8	25	2	2	2	0.5
5	-1	-0.5	41	25	15	20	5	0.6
6	-0.5	-0.25	165	25	62	63	27	0.68888889
7	-0.25	-0.1	899	25	351	268	172	0.79772727
8	-0.1	0	19567	100	15474	1979	1437	4.5298595
9	0	0.1	23586	100	18849	2477	1479	4.7646613
10	0.1	0.25	6350	100	4800	1043	308	3.5529238
11	0.25	0.5	5803	100	4618	890	165	4.3772512
12	0.5	1	4308	96	3362	753	111	3.8912037
13	1	2	1433	32	1041	327	35	2.8756906
14	2	3	140	25	93	44	1	2.0666667
15	3	5	8	25	2	5	1	0.33333333
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
