idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	1	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	1	25	1	0	0	0
5	-1	-0.5	2	25	1	0	0	0
6	-0.5	-0.25	8	25	3	5	0	0.6
7	-0.25	-0.1	64	25	23	24	14	0.60526316
8	-0.1	0	3803	85	3320	277	144	7.8859857
9	0	0.1	5424	100	4657	487	143	7.3920635
10	0.1	0.25	2152	48	1727	303	61	4.7445055
11	0.25	0.5	2229	50	1783	335	67	4.4353234
12	0.5	1	1706	38	1341	301	36	3.9792285
13	1	2	553	25	437	94	15	4.0091743
14	2	3	47	25	35	11	0	3.1818182
15	3	5	5	25	4	1	0	4
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
