idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	0	0	0	0	0	0
6	-0.5	-0.25	2	25	2	0	0	0
7	-0.25	-0.1	8	25	2	3	2	0.4
8	-0.1	0	1213	27	1047	96	51	7.122449
9	0	0.1	1797	40	1522	174	59	6.5321888
10	0.1	0.25	771	25	613	125	20	4.2275862
11	0.25	0.5	756	25	614	109	20	4.7596899
12	0.5	1	588	25	462	101	13	4.0526316
13	1	2	186	25	146	36	0	4.0555556
14	2	3	16	25	13	3	0	4.3333333
15	3	5	2	25	1	1	0	1
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
