idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	0	0	0	0	0	0
6	-0.5	-0.25	8	25	3	5	0	0.6
7	-0.25	-0.1	17	25	7	6	3	0.77777778
8	-0.1	0	1504	33	1330	105	48	8.6928105
9	0	0.1	2220	49	1926	198	44	7.9586777
10	0.1	0.25	943	25	757	138	24	4.6728395
11	0.25	0.5	944	25	753	157	25	4.1373626
12	0.5	1	723	25	564	135	14	3.7852349
13	1	2	228	25	186	32	5	5.027027
14	2	3	20	25	14	6	0	2.3333333
15	3	5	2	25	2	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
