idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	4	25	2	1	1	1
4	-2	-1	66	25	26	26	8	0.76470588
5	-1	-0.5	161	25	65	60	16	0.85526316
6	-0.5	-0.25	522	25	184	230	68	0.61744966
7	-0.25	-0.1	3397	75	1451	1211	468	0.86420488
8	-0.1	0	35458	100	21531	7079	4375	1.87978
9	0	0.1	41165	100	24711	8180	5247	1.8403962
10	0.1	0.25	9518	100	5228	2497	1122	1.444598
11	0.25	0.5	4909	100	3296	1045	314	2.4253127
12	0.5	1	3386	75	2438	651	166	2.9840881
13	1	2	1268	28	907	289	41	2.7484848
14	2	3	127	25	85	37	5	2.0238095
15	3	5	13	25	11	2	0	5.5
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
