idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	1	0	0	0
3	-3	-2	1	25	1	0	0	0
4	-2	-1	3	25	1	1	1	0.5
5	-1	-0.5	26	25	17	6	3	1.8888889
6	-0.5	-0.25	97	25	36	35	17	0.69230769
7	-0.25	-0.1	716	25	318	253	97	0.90857143
8	-0.1	0	11060	100	8081	1485	910	3.3741127
9	0	0.1	13197	100	9783	1735	996	3.5822043
10	0.1	0.25	3249	72	2242	643	197	2.6690476
11	0.25	0.5	2682	60	1986	492	97	3.3718166
12	0.5	1	2043	45	1528	391	49	3.4727273
13	1	2	715	25	522	157	18	2.9828571
14	2	3	46	25	32	13	1	2.2857143
15	3	5	6	25	6	0	0	0
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
